backbone,dish_id,session,rung,damage,cal_true,cal_pred,cal_abs_err,mass_true,mass_pred,mass_abs_err,mahalanobis,knn_dist,ensemble_spread,learned_error,blend,pred_magnitude,lap_var,tenengrad,blockiness,hf_ratio
vit_base_patch16_clip_224.openai,dish_1560444869,35,clean,clean,14.04,33.9962,19.9562,39,93.5257,54.5257,9.11181,58.4439,40.0123,40.0528,24.6291,33.9962,122.362,196.803,0.0610529,0.0148092
vit_base_patch16_clip_224.openai,dish_1559850283,31,clean,clean,271.707,297.674,25.967,47,89.5335,42.5335,7.99062,36.4717,14.602,119.214,140.933,297.674,86.2862,158.712,-0.106897,0.0119857
vit_base_patch16_clip_224.openai,dish_1566502505,115,clean,clean,454.517,490.086,35.5682,275,286.639,11.6392,7.08831,48.9084,25.4467,101.16,114.08,490.086,174.535,290.07,-0.0738029,0.0135374
vit_base_patch16_clip_224.openai,dish_1565811091,104,clean,clean,504.4,422.783,81.6168,371,403.203,32.2033,8.71656,53.2553,24.8946,158.306,188.61,422.783,462.517,658.632,0.0427848,0.0192776
vit_base_patch16_clip_224.openai,dish_1561739265,52,clean,clean,292.04,356.703,64.6635,308,399.564,91.5639,7.45081,50.3911,22.4694,59.0738,52.6362,356.703,203.548,312.954,0.0168147,0.0179878
vit_base_patch16_clip_224.openai,dish_1558373159,8,clean,clean,1013.34,537.855,475.482,334,282.618,51.3824,7.8173,46.2005,36.4548,156.331,195.37,537.855,248.552,426.758,-0.153255,0.0206358
vit_base_patch16_clip_224.openai,dish_1565035830,98,clean,clean,340.128,523.218,183.09,414,518.865,104.865,8.95605,56.7166,22.6905,79.4758,75.0875,523.218,276.373,455.241,0.0876667,0.0164929
vit_base_patch16_clip_224.openai,dish_1562788568,67,clean,clean,289.203,357.865,68.6619,230,247.586,17.5856,6.06378,48.3807,19.7194,107.73,123.417,357.865,104.759,171.368,-0.0351735,0.0122851
vit_base_patch16_clip_224.openai,dish_1558376483,9,clean,clean,735.03,566.299,168.731,270,302.906,32.9055,8.17115,45.7139,32.3956,166.978,208.52,566.299,286.264,480.319,-0.0880351,0.0229615
vit_base_patch16_clip_224.openai,dish_1561739160,52,clean,clean,34.77,104.18,69.4096,61,123.546,62.5457,8.99844,52.1775,19.1224,35.623,14.8862,104.18,153.583,235.955,0.00120819,0.0200937
vit_base_patch16_clip_224.openai,dish_1558549773,14,clean,clean,2.3,-41.652,43.952,10,-30.0803,40.0803,6.81006,42.1381,17.6077,34.2032,21.8558,-41.652,156.025,293.768,0.00582361,0.0187062
vit_base_patch16_clip_224.openai,dish_1561574394,44,clean,clean,61.5024,97.3748,35.8725,82,117.663,35.6629,6.4388,44.2309,18.0048,53.2749,48.1994,97.3748,273.447,420.38,0.082443,0.0145489
vit_base_patch16_clip_224.openai,dish_1558461760,10,clean,clean,10.98,-49.1215,60.1015,61,30.2544,30.7456,7.3895,28.5215,11.4843,19.5115,5.71039,-49.1215,168.551,303.701,-0.0114197,0.0213198
vit_base_patch16_clip_224.openai,dish_1563909469,83,clean,clean,72.4028,-4.09727,76.5001,64,-10.5727,74.5727,5.79241,40.1975,21.7555,44.5034,40.6078,-4.09727,199.367,312.101,0.11596,0.0162271
vit_base_patch16_clip_224.openai,dish_1558376938,9,clean,clean,51.06,102.736,51.6758,74,94.3096,20.3096,7.74689,27.8104,10.6657,35.7095,27.8734,102.736,205.201,345.422,-0.133632,0.0204948
vit_base_patch16_clip_224.openai,dish_1565986733,109,clean,clean,387.929,409.898,21.969,287,264.454,22.5456,5.5905,44.9844,20.7389,106.411,124.655,409.898,195.215,298.329,0.201663,0.0171207
vit_base_patch16_clip_224.openai,dish_1558639555,17,clean,clean,156.049,261.089,105.04,320,331.118,11.1178,8.34348,44.1724,23.9116,80.1257,84.4939,261.089,287.602,444.314,-0.0127317,0.0222472
vit_base_patch16_clip_224.openai,dish_1558546558,13,clean,clean,254.364,288.014,33.6502,44,42.963,1.03696,7.722,32.5728,15.1785,117.921,141.969,288.014,183.898,339.187,-0.0433231,0.0212152
vit_base_patch16_clip_224.openai,dish_1563984242,84,clean,clean,402.117,349.716,52.401,753,617.683,135.317,8.37418,49.018,18.9674,63.3327,56.5111,349.716,125.351,217.252,0.0299965,0.0130221
vit_base_patch16_clip_224.openai,dish_1559849097,30,clean,clean,495.928,277.411,218.517,325,303.048,21.9516,7.06832,42.8165,15.2502,89.0775,97.0572,277.411,97.4471,179.182,-0.0276675,0.0107393
vit_base_patch16_clip_224.openai,dish_1563566965,80,clean,clean,370.827,395.637,24.8099,286,369.734,83.7344,7.58656,45.4983,22.3578,96.9878,108.181,395.637,251.973,401.88,-0.00374681,0.0118636
vit_base_patch16_clip_224.openai,dish_1566849895,119,clean,clean,112.31,187.369,75.059,153,176.509,23.509,10.8885,51.4324,21.7388,90.2773,89.3906,187.369,178.848,299.588,-0.0424388,0.0133355
vit_base_patch16_clip_224.openai,dish_1559157919,23,clean,clean,37.0946,46.2224,9.12778,39,61.7267,22.7267,7.66601,48.5076,16.1739,59.8862,52.2613,46.2224,269.485,446.689,0.176536,0.0249237
vit_base_patch16_clip_224.openai,dish_1558113477,7,clean,clean,289.05,300.859,11.8087,50,79.9006,29.9006,7.27996,26.6842,18.3187,105.303,129.449,300.859,195.373,324.481,-0.172671,0.021036
vit_base_patch16_clip_224.openai,dish_1559238993,25,clean,clean,61.56,44.5693,16.9907,108,125.588,17.5884,6.89989,39.245,10.1965,31.6707,17.1951,44.5693,183.314,322.97,0.110761,0.0200639
vit_base_patch16_clip_224.openai,dish_1562788506,67,clean,clean,114.588,60.8845,53.7035,108,80.6604,27.3396,7.30109,48.8712,17.5933,33.2221,15.8546,60.8845,63.8072,106.025,-0.0814587,0.0167601
vit_base_patch16_clip_224.openai,dish_1562774129,64,clean,clean,73.0835,97.1426,24.0591,77,104.076,27.0757,6.57148,43.2996,11.574,39.2798,26.6556,97.1426,138.888,232.332,-0.0604448,0.0117857
vit_base_patch16_clip_224.openai,dish_1559578551,26,clean,clean,124.43,165.737,41.3067,23,-4.54836,27.5484,7.87014,41.0178,15.8608,43.6632,33.2385,165.737,164.202,267.938,0.0931343,0.0191383
vit_base_patch16_clip_224.openai,dish_1562788536,67,clean,clean,245.132,303.157,58.0249,190,187.528,2.47167,7.01653,50.5381,23.4588,97.2106,107.082,303.157,99.7144,160.531,-0.0127738,0.0131344
vit_base_patch16_clip_224.openai,dish_1559233756,24,clean,clean,189.85,240.904,51.0535,222,185.559,36.4412,7.01696,47.5487,16.5107,59.7607,53.8905,240.904,224.471,388.01,0.0651987,0.0257748
vit_base_patch16_clip_224.openai,dish_1564428181,89,clean,clean,510.051,482.843,27.2075,320,303.349,16.6514,7.30896,47.7683,21.313,113.612,130.332,482.843,350.873,548.2,0.110145,0.0145409
vit_base_patch16_clip_224.openai,dish_1565118729,100,clean,clean,435.493,431.438,4.05565,248,205.903,42.0965,7.83748,47.2858,17.9873,50.4193,40.0051,431.438,156.902,256.357,0.0052619,0.0122342
vit_base_patch16_clip_224.openai,dish_1568305225,125,clean,clean,428.668,464.806,36.1378,144,219.896,75.8958,9.20701,59.6539,36.1745,77.2595,74.568,464.806,175.629,275.564,0.00183916,0.0117602
vit_base_patch16_clip_224.openai,dish_1566414291,112,clean,clean,345.142,424.108,78.9664,244,321.135,77.1353,6.41321,46.1231,16.3227,119.427,139.26,424.108,159.727,242.628,-0.158341,0.0156591
vit_base_patch16_clip_224.openai,dish_1561661347,48,clean,clean,50.67,188.851,138.181,132,212.764,80.7644,7.92233,47.3383,23.069,88.1772,94.4655,188.851,257.315,386.519,0.14338,0.0211906
vit_base_patch16_clip_224.openai,dish_1566501575,114,clean,clean,251.694,458.178,206.484,54,384.16,330.16,8.38681,49.8778,19.4198,124.965,142.486,458.178,199.593,325.784,-0.0646256,0.0140608
vit_base_patch16_clip_224.openai,dish_1563218408,72,clean,clean,245.34,228.599,16.7409,87,174.468,87.4684,9.06503,57.2114,22.0113,51.8231,35.6541,228.599,228.58,329.771,-0.092889,0.00976663
vit_base_patch16_clip_224.openai,dish_1561661377,48,clean,clean,306.334,396.709,90.3758,294,363.698,69.6976,6.1009,44.3126,24.7051,114.241,136.46,396.709,246.263,366.298,0.14807,0.020971
vit_base_patch16_clip_224.openai,dish_1558639876,17,clean,clean,68.18,192.999,124.819,215,273.893,58.8925,9.66965,45.8142,23.838,76.1875,75.6796,192.999,362.58,544.571,-0.00559056,0.0261573
vit_base_patch16_clip_224.openai,dish_1566849862,119,clean,clean,77.05,102.448,25.3983,67,50.8518,16.1482,10.0635,49.1342,16.5994,78.0383,73.2178,102.448,155.74,272.806,-0.0736702,0.0106028
vit_base_patch16_clip_224.openai,dish_1566502573,115,clean,clean,821.51,543.273,278.237,487,448.509,38.4906,6.22777,48.1664,14.1696,122.627,142.189,543.273,196.468,329.516,-0.0594817,0.0143803
vit_base_patch16_clip_224.openai,dish_1562009810,55,clean,clean,119.88,126.863,6.98332,108,76.2447,31.7553,9.71148,53.5652,21.2481,78.155,73.1492,126.863,197.029,303.386,0.126004,0.0215992
vit_base_patch16_clip_224.openai,dish_1564675411,91,clean,clean,235.531,350.158,114.627,308,322.684,14.6836,8.14209,49.3636,29.3038,67.7789,66.5356,350.158,169.67,276.201,-0.0226738,0.0168897
vit_base_patch16_clip_224.openai,dish_1560203424,33,clean,clean,451.754,356.499,95.2549,138,145.748,7.74777,8.45815,55.8458,26.384,51.4794,38.5258,356.499,158.242,250.783,0.0118895,0.0139383
vit_base_patch16_clip_224.openai,dish_1562790824,68,clean,clean,437.072,443.516,6.44426,368,299.804,68.1955,7.32917,43.939,27.754,103.818,120.94,443.516,158.178,251.397,-0.0404751,0.0118149
vit_base_patch16_clip_224.openai,dish_1558030289,4,clean,clean,38.52,-50.8491,89.3691,107,116.626,9.62608,7.44804,39.7342,13.7314,47.2798,39.0323,-50.8491,155.929,273.785,-0.210459,0.0205977
vit_base_patch16_clip_224.openai,dish_1560444985,35,clean,clean,198.938,267.066,68.128,264,387.513,123.513,7.50535,49.765,27.6735,64.6809,62.5417,267.066,161.137,278.337,0.0421206,0.0164703
vit_base_patch16_clip_224.openai,dish_1563984140,84,clean,clean,245.44,295.437,49.9968,472,371.679,100.321,9.44883,43.8554,15.7525,58.9372,50.205,295.437,92.2073,161.155,0.00473559,0.0152088
vit_base_patch16_clip_224.openai,dish_1561662160,49,clean,clean,41.8383,100.289,58.4508,36,87.4321,51.4321,6.43468,43.7624,19.3018,70.9521,73.6744,100.289,191.741,288.749,-0.0423011,0.0159464
vit_base_patch16_clip_224.openai,dish_1558641164,18,clean,clean,80.08,67.3955,12.6845,154,116.638,37.3615,6.88089,24.9834,9.51437,20.7614,9.65371,67.3955,156.016,281.122,0.055625,0.020572
vit_base_patch16_clip_224.openai,dish_1558110335,6,clean,clean,37.87,42.8674,4.99742,7,-24.5117,31.5117,6.8693,39.402,17.0521,47.433,41.6105,42.8674,160.926,281.408,-0.172428,0.0192169
vit_base_patch16_clip_224.openai,dish_1565811061,104,clean,clean,380.32,308.491,71.8291,324,368.547,44.5472,9.20186,53.5896,27.375,143.543,167.742,308.491,358,537.737,0.0511097,0.0146205
vit_base_patch16_clip_224.openai,dish_1559844490,28,clean,clean,108.36,145.284,36.9238,180,232.043,52.0425,7.34804,36.1187,10.9546,38.9438,28.5872,145.284,99.8035,174.216,0.042632,0.011752
vit_base_patch16_clip_224.openai,dish_1562786103,66,clean,clean,93.081,117.609,24.5285,57,96.6425,39.6425,9.18799,57.159,28.6712,60.3533,49.7162,117.609,105.85,168.942,-0.0840042,0.0122628
vit_base_patch16_clip_224.openai,dish_1563897087,81,clean,clean,102.44,170.926,68.4858,231,204.302,26.6981,8.41952,54.3491,29.7339,90.3014,94.9593,170.926,116.181,187.354,-0.0846204,0.0122223
vit_base_patch16_clip_224.openai,dish_1566590007,117,clean,clean,740.762,575.426,165.336,457,429.798,27.2023,6.9596,47.4836,24.4383,116.314,135.978,575.426,191.325,316.993,0.190277,0.0134452
vit_base_patch16_clip_224.openai,dish_1560975517,40,clean,clean,42.39,179.928,137.538,99,187.2,88.1998,6.52131,43.1587,44.4687,83.5169,100.163,179.928,191.663,278.39,0.0362338,0.0223152
vit_base_patch16_clip_224.openai,dish_1557936645,3,clean,clean,11.88,-4.43168,16.3117,36,68.7538,32.7538,7.17907,44.2991,11.2725,23.4178,2.6984,-4.43168,100.447,156.449,0.0801927,0.015604
vit_base_patch16_clip_224.openai,dish_1565020796,95,clean,clean,90.6,184.073,93.4727,99,137.233,38.2325,8.47843,51.2422,21.5133,37.2572,19.4481,184.073,99.0231,152.857,0.0171206,0.0178376
vit_base_patch16_clip_224.openai,dish_1559578579,26,clean,clean,142.58,208.134,65.5541,78,90.6375,12.6375,8.32578,46.6041,15.7364,43.7945,29.4586,208.134,221.87,353.492,0.0537905,0.0224217
vit_base_patch16_clip_224.openai,dish_1557862783,2,clean,clean,442.98,498.827,55.847,258,313.418,55.4177,10.4356,55.4142,23.2701,98.5515,100.098,498.827,258.576,287.516,0.0554087,0.0256599
vit_base_patch16_clip_224.openai,dish_1560975601,40,clean,clean,233.936,473.037,239.101,253,418.553,165.553,5.75612,43.6095,26.9331,135.481,167.984,473.037,265.869,382.771,0.0361869,0.0210818
vit_base_patch16_clip_224.openai,dish_1560367952,34,clean,clean,414.733,346.842,67.8907,221,281.797,60.7972,8.40876,50.5289,37.1622,108.208,124.754,346.842,262.361,413.238,0.101229,0.0134824
vit_base_patch16_clip_224.openai,dish_1563565454,79,clean,clean,350.789,302.437,48.3516,322,287.922,34.0776,7.6122,48.8622,24.3472,111.089,126.701,302.437,198.528,321.899,-0.0251588,0.0133659
vit_base_patch16_clip_224.openai,dish_1562703408,63,clean,clean,311.209,435.59,124.381,196,282.073,86.0734,7.3657,54.4464,19.113,41.4612,24.7009,435.59,111.702,176.694,-0.102664,0.0103384
vit_base_patch16_clip_224.openai,dish_1564689138,93,clean,clean,268.267,225.985,42.2818,223,216.338,6.66242,5.13129,41.991,20.4594,62.1408,65.039,225.985,193.028,316.403,0.0659659,0.0123556
vit_base_patch16_clip_224.openai,dish_1563221086,73,clean,clean,328.278,398.297,70.019,254,306.333,52.3325,5.83781,42.6993,21.9804,88.7291,101.153,398.297,238.633,372.719,0.160344,0.0130268
vit_base_patch16_clip_224.openai,dish_1567007814,122,clean,clean,73,87.4048,14.4048,152,209.488,57.4883,6.59436,42.3327,15.6436,34.4489,21.7956,87.4048,120.165,185.752,-0.071775,0.0145963
vit_base_patch16_clip_224.openai,dish_1565896701,106,clean,clean,294.473,356.133,61.6591,184,207.522,23.5222,6.81187,49.1572,16.1401,84.1902,87.4464,356.133,115.96,181.607,-0.0683812,0.0135825
vit_base_patch16_clip_224.openai,dish_1557937615,3,clean,clean,6.93,-50.926,57.856,21,13.5227,7.47728,7.28487,47.8926,14.7107,13.8546,-11.6945,-50.926,96.1425,147.415,0.0491252,0.0148412
vit_base_patch16_clip_224.openai,dish_1564427455,88,clean,clean,354.26,279.929,74.3313,218,246.344,28.3444,9.29123,48.6032,20.5924,76.4704,74.073,279.929,264.128,425.336,0.0794078,0.0145942
vit_base_patch16_clip_224.openai,dish_1564588859,90,clean,clean,183.586,261.623,78.0367,257,257.565,0.565446,7.62637,49.3442,20.0553,57.4521,49.8001,261.623,101.608,149.645,-0.0850962,0.0196512
vit_base_patch16_clip_224.openai,dish_1561577848,45,clean,clean,413.348,383.144,30.2038,254,253.184,0.816387,6.56468,45.8965,16.2579,100.842,113.064,383.144,189.361,337.805,0.00840652,0.0146796
vit_base_patch16_clip_224.openai,dish_1563389600,76,clean,clean,451.428,240.346,211.082,264,248.964,15.0357,9.57251,46.8116,21.7646,59.6027,51.3517,240.346,177.467,290.274,-0.051056,0.0101468
vit_base_patch16_clip_224.openai,dish_1566316726,110,clean,clean,409.523,356.452,53.0708,685,505.337,179.663,8.35688,45.0248,19.5179,48.155,37.6984,356.452,106.358,185.721,-0.0813307,0.0124304
vit_base_patch16_clip_224.openai,dish_1562776465,65,clean,clean,173.432,239.677,66.2442,212,204.94,7.05967,8.23203,50.4657,21.3852,65.996,60.5247,239.677,162.605,257.801,0.0932463,0.0140917
vit_base_patch16_clip_224.openai,dish_1568401261,126,clean,clean,530.393,409.546,120.848,443,364.245,78.7551,7.7601,52.4413,18.1992,125.984,143.178,409.546,162.055,252.973,0.109535,0.0199206
vit_base_patch16_clip_224.openai,dish_1559841950,27,clean,clean,11.2,33.3969,22.1969,32,74.8419,42.8419,7.6246,40.9946,20.5167,14.5434,-5.48447,33.3969,78.4052,141.678,-0.0599101,0.0111035
vit_base_patch16_clip_224.openai,dish_1558375667,9,clean,clean,687.939,425.499,262.44,119,98.574,20.426,7.78598,30.1078,27.6065,148.324,190.11,425.499,223.466,372.569,-0.147752,0.0213211
vit_base_patch16_clip_224.openai,dish_1558639482,17,clean,clean,30.769,70.0332,39.2642,29,73.7464,44.7464,8.69201,35.4036,9.70897,37.4984,24.1391,70.0332,133.296,246.456,0.00606334,0.0173456
vit_base_patch16_clip_224.openai,dish_1566328805,111,clean,clean,927.81,628.581,299.229,488,465.036,22.9643,8.54574,54.7341,24.4354,81.0834,79.7766,628.581,175.078,309.512,-0.0129832,0.0189887
vit_base_patch16_clip_224.openai,dish_1558114145,7,clean,clean,57.27,181.291,124.021,83,164.036,81.0356,7.85226,31.245,13.4909,43.1862,37.2231,181.291,198.024,336.97,-0.165853,0.0215268
vit_base_patch16_clip_224.openai,dish_1562700593,62,clean,clean,385.774,530.627,144.853,384,394.66,10.6598,7.35843,45.9397,19.7032,113.366,130.361,530.627,236.982,374.765,0.102833,0.0145945
vit_base_patch16_clip_224.openai,dish_1557937574,3,clean,clean,5.59,-43.549,49.139,13,24.4552,11.4552,6.36087,52.3189,13.5847,14.3819,-12.1663,-43.549,91.9396,143.636,0.0823624,0.0139707
vit_base_patch16_clip_224.openai,dish_1561661324,48,clean,clean,33,128.408,95.4082,75,123.888,48.8875,7.28324,41.2897,26.4576,89.4188,101.881,128.408,215.071,319.919,0.223426,0.0257998
vit_base_patch16_clip_224.openai,dish_1564588820,90,clean,clean,81.12,111.966,30.8459,156,182.089,26.0889,6.6393,42.7099,17.3036,48.05,41.1292,111.966,81.5703,115.105,-0.0612525,0.0214702
vit_base_patch16_clip_224.openai,dish_1566414225,112,clean,clean,125.182,179.66,54.4783,88,144.252,56.252,6.05109,44.782,22.9509,84.5282,94.0659,179.66,126.694,206.914,-0.17516,0.0177235
vit_base_patch16_clip_224.openai,dish_1568305257,125,clean,clean,837.148,543.85,293.298,420,353.631,66.3687,6.73042,51.0069,19.2044,77.8204,78.7007,543.85,183.001,295.732,0.0121759,0.0134084
vit_base_patch16_clip_224.openai,dish_1564773826,94,clean,clean,10.08,-11.9778,22.0578,56,60.8505,4.85053,8.21006,50.3189,16.4775,21.3704,-3.55333,-11.9778,126.317,224.478,-0.0299532,0.0161446
vit_base_patch16_clip_224.openai,dish_1562700496,62,clean,clean,31,3.86361,27.1364,124,112.131,11.869,7.54427,43.2636,16.7547,41.0711,29.2467,3.86361,145.36,240.489,0.190325,0.0180333
vit_base_patch16_clip_224.openai,dish_1566850099,119,clean,clean,113.058,97.1656,15.8924,112,100.181,11.8191,5.82074,40.7596,11.2991,42.2926,33.5296,97.1656,143.93,239.579,-0.043425,0.0106056
vit_base_patch16_clip_224.openai,dish_1560975628,40,clean,clean,348.273,563.818,215.546,296,433.22,137.22,5.93495,43.041,24.5312,120.25,145.819,563.818,269.621,390.431,-0.0119249,0.0228784
vit_base_patch16_clip_224.openai,dish_1558461431,10,clean,clean,1.15,-51.5872,52.7372,5,-32.6601,37.6601,7.65893,39.217,13.0257,38.5663,26.4971,-51.5872,192.568,345.137,0.00877666,0.0220659
vit_base_patch16_clip_224.openai,dish_1558635618,16,clean,clean,220.254,242.593,22.3387,334,351.661,17.6606,10.2755,49.6105,26.0762,74.3375,70.6719,242.593,407.37,613.667,-0.0668775,0.028923
vit_base_patch16_clip_224.openai,dish_1561148021,41,clean,clean,361.765,508.201,146.436,216,264.653,48.6528,7.08224,45.4424,29.4616,80.267,88.149,508.201,275.57,398.935,-0.0229535,0.0181007
vit_base_patch16_clip_224.openai,dish_1566328745,111,clean,clean,282.03,272.504,9.52601,203,234.868,31.868,8.75817,52.2272,16.1357,47.1655,30.4184,272.504,184.246,300.143,-0.0416626,0.0206221
vit_base_patch16_clip_224.openai,dish_1558373074,8,clean,clean,73.84,74.5085,0.668466,142,143.785,1.78547,7.7358,33.2567,12.8112,32.8036,21.5336,74.5085,189.031,293.618,-0.187847,0.0221687
